Superficie (x,y)ini - (x,y)fin en metros TUNEL-CIRCULAR 300
150	N_topo segmentos :: T^0 + T^d = 0
0    	N_cont segmentos :: T^d = T^0; u^d = u^0
0    	N_vall segmentos :: T^d = 0
***** [topo] Tracciones nulas en medio estratificado ***** [normales hacia el aire]
1  1   <- escala:x escala:y
0  0   <- offset:x offset:y
1.0   <- [negativo invierte normal]
0.981771694075559	0.190064043711607	0.979084087682323	0.203456013052634 F
0.979084087682323	0.203456013052634	0.976213815459545	0.216810023997781 F
0.976213815459545	0.216810023997781	0.973161412908375	0.230123585114986 F
0.973161412908375	0.230123585114986	0.969927449509671	0.243394212518836 F
0.969927449509671	0.243394212518836	0.966512528617745	0.256619430333974 F
0.966512528617745	0.256619430333974	0.962917287347799	0.269796771157024 F
0.962917287347799	0.269796771157024	0.959142396457063	0.282923776516930 F
0.959142396457063	0.282923776516930	0.955188560219648	0.295997997333623 F
0.955188560219648	0.295997997333623	0.951056516295154	0.309016994374947 F
0.951056516295154	0.309016994374947	0.946747035591044	0.321978338711738 F
0.946747035591044	0.321978338711738	0.942260922118821	0.334879612170986 F
0.942260922118821	0.334879612170986	0.937599012844020	0.347718407786989 F
0.937599012844020	0.347718407786989	0.932762177530064	0.360492330250415 F
0.932762177530064	0.360492330250415	0.927751318575985	0.373198996355191 F
0.927751318575985	0.373198996355191	0.922567370848072	0.385836035443135 F
0.922567370848072	0.385836035443135	0.917211301505453	0.398401089846241 F
0.917211301505453	0.398401089846241	0.911684109819653	0.410891815326548 F
0.911684109819653	0.410891815326548	0.905986826988164	0.423305881513498 F
0.905986826988164	0.423305881513498	0.900120515942051	0.435640972338709 F
0.900120515942051	0.435640972338709	0.894086271147651	0.447894786468082 F
0.894086271147651	0.447894786468082	0.887885218402375	0.460065037731152 F
0.887885218402375	0.460065037731152	0.881518514624672	0.472149455547618 F
0.881518514624672	0.472149455547618	0.874987347638183	0.484145785350961 F
0.874987347638183	0.484145785350961	0.868292935950134	0.496051789009068 F
0.868292935950134	0.496051789009068	0.861436528524000	0.507865245241806 F
0.861436528524000	0.507865245241806	0.854419404546489	0.519583950035434 F
0.854419404546489	0.519583950035434	0.847242873188884	0.531205717053803 F
0.847242873188884	0.531205717053803	0.839908273362797	0.542728378046262 F
0.839908273362797	0.542728378046262	0.832416973470368	0.554149783252175 F
0.832416973470368	0.554149783252175	0.824770371148969	0.565467801802006 F
